Title,Url,Description,Publish At
Accommodating for Changes in Online Survey Supply and Demand,https://luc.id/blog/accommodating-for-changes-in-online-survey-supply-and-demand/,"Sample providers are selective about the studies they send respondents to. Creating more competitive surveys drives success in a marketplace.
The post Accommodating for Changes in Online Survey Supply and Demand appeared first on Lucid.","Mon, 17 May 2021 20:55:18 +0000"
Lucid and The Trade Desk Power Advertisers’ Brand Impact,https://luc.id/blog/lucid-and-the-trade-desk-power-advertisers-brand-impact/,"The Trade Desk becomes the first DSP to integrate Lucid in-platform. Brand Lift helps clients measure the impact of digital campaigns.
The post Lucid and The Trade Desk Power Advertisers’ Brand Impact appeared first on Lucid.","Wed, 28 Apr 2021 14:26:36 +0000"
How Lucid is Preparing for the Cookieless Future,https://luc.id/blog/how-lucid-is-preparing-for-the-cookieless-future/,"It's one of the biggest challenges marketers are facing today: media measurement that doesn't rely on third-party cookies. 
The post How Lucid is Preparing for the Cookieless Future appeared first on Lucid.","Mon, 19 Apr 2021 16:20:24 +0000"
Why Market Research Is Important,https://luc.id/blog/why-market-research-is-important/,"Why is market research important? Learn more about the basics of market research and how it can give your business a competitive advantage. 
The post Why Market Research Is Important appeared first on Lucid.","Mon, 12 Apr 2021 21:07:30 +0000"
What Is Quantitative Research?,https://luc.id/blog/what-is-quantitative-research/,"Quantitative research methods and data analysis can be useful tools for collecting statistical research data. Here's how it works.
The post What Is Quantitative Research? appeared first on Lucid.","Mon, 12 Apr 2021 20:53:25 +0000"
What Is Survey Sampling and How Is It Used for Research?,https://luc.id/blog/what-is-survey-sampling-and-how-is-it-used-for-research/,"Survey sampling is one of the most popular methods for conducting research. Learn more about how sampling works and how it can benefit you. 
The post What Is Survey Sampling and How Is It Used for Research? appeared first on Lucid.","Mon, 12 Apr 2021 20:36:27 +0000"
How to Create a Survey Questionnaire That Gets Great Responses,https://luc.id/blog/how-to-create-a-survey-questionnaire-that-gets-great-responses/,"Strong survey questions deliver better data, lower cost studies and faster results. Here are some tips for writing a great survey. 
The post How to Create a Survey Questionnaire That Gets Great Responses appeared first on Lucid.","Tue, 06 Apr 2021 18:23:58 +0000"
5 Ways Software Can Boost Your Research Capabilities,https://luc.id/blog/5-ways-software-can-boost-your-research-capabilities/,"SaaS is one of the most important trends in research technology right now. Here are some benefits of using survey sampling software.
The post 5 Ways Software Can Boost Your Research Capabilities appeared first on Lucid.","Thu, 25 Mar 2021 16:26:09 +0000"
ResTech and Beyond: The Continued Expansion of Our Industry Landscape,https://luc.id/blog/restech-and-beyond-the-continued-expansion-of-our-industry-landscape/,"After collecting feedback from others in the ResTech industry, Lucid is releasing the second iteration of the ResTech landscape. 
The post ResTech and Beyond: The Continued Expansion of Our Industry Landscape appeared first on Lucid.","Tue, 23 Mar 2021 22:43:39 +0000"
Google Will Not Build Alternative Third-party Identifiers,https://luc.id/blog/google-will-not-build-alternative-identifiers-when-third-party-cookies-are-phased-out-lucid-responds/,"Lucid responds to Google's recent announcement that it will not build alternative identifiers when third-party cookies are phased out. 
The post Google Will Not Build Alternative Third-party Identifiers appeared first on Lucid.","Mon, 08 Mar 2021 21:12:55 +0000"
TVSquared Integrates Location Data to Link Cross-Platform TV Ads to Offline Consumer Behaviors,https://tvsquared.com/tvsquared-integrates-location-data-to-link-cross-platform-tv-ads-to-offline-consumer-behaviors/,The post TVSquared Integrates Location Data to Link Cross-Platform TV Ads to Offline Consumer Behaviors appeared first on TVSquared.,"Tue, 18 May 2021 13:05:07 +0000"
"SpotX Integrates TVSquared for Transparent, Real-Time, Global CTV Measurement & Attribution",https://tvsquared.com/spotx-integrates-tvsquared-for-transparent-real-time-global-ctv-measurement-attribution/,"The post SpotX Integrates TVSquared for Transparent, Real-Time, Global CTV Measurement & Attribution appeared first on TVSquared.","Tue, 27 Apr 2021 13:12:31 +0000"
DTCs Learning from the Masters – Brand Building & Reach,https://tvsquared.com/dtcs-learning-from-the-masters-brand-building-reach/,The post DTCs Learning from the Masters – Brand Building & Reach appeared first on TVSquared.,"Mon, 26 Apr 2021 21:11:12 +0000"
DTCs’ TV Revolution & What the “Old Guard” is Learning from It,https://tvsquared.com/dtcs-tv-revolution-what-the-old-guard-is-learning-from-it/,The post DTCs’ TV Revolution & What the “Old Guard” is Learning from It appeared first on TVSquared.,"Fri, 23 Apr 2021 16:43:05 +0000"
Leading Industry Participants Launch New Initiative Exploring the Future of the U.S. Data-Driven TV Ecosystem,https://tvsquared.com/leading-industry-participants-launch-new-initiative-exploring-the-future-of-the-u-s-data-driven-tv-ecosystem/,The post Leading Industry Participants Launch New Initiative Exploring the Future of the U.S. Data-Driven TV Ecosystem appeared first on TVSquared.,"Wed, 07 Apr 2021 15:01:37 +0000"
Women of TVSquared Spotlight: Part 3,https://tvsquared.com/women-of-tvsquared-spotlight-part-3/,"At VAB's Video Leadership Summit, industry leaders offered their insights on the current state of attribution throughout the dynamic TV landscape.
The post Women of TVSquared Spotlight: Part 3 appeared first on TVSquared.","Wed, 31 Mar 2021 18:28:19 +0000"
AdTech Leaders Unite to Measure the Ad Council & COVID Collaborative’s COVID-19 Vaccine Education Initiative – the Largest PSA Campaign in U.S. History,https://tvsquared.com/adtech-leaders-unite-to-measure-the-ad-council-covid-collaboratives-covid-19-vaccine-education-initiative-the-largest-psa-campaign-in-u-s-history/,The post AdTech Leaders Unite to Measure the Ad Council & COVID Collaborative’s COVID-19 Vaccine Education Initiative – the Largest PSA Campaign in U.S. History appeared first on TVSquared.,"Tue, 30 Mar 2021 16:57:04 +0000"
Women of TVSquared Spotlight: Part 2,https://tvsquared.com/women-of-tvsquared-spotlight-part-2/,"At VAB's Video Leadership Summit, industry leaders offered their insights on the current state of attribution throughout the dynamic TV landscape.
The post Women of TVSquared Spotlight: Part 2 appeared first on TVSquared.","Mon, 29 Mar 2021 14:00:11 +0000"
Women of TVSquared Spotlight: Part 1,https://tvsquared.com/women-of-tvsquared-spotlight-part-1/,"At VAB's Video Leadership Summit, industry leaders offered their insights on the current state of attribution throughout the dynamic TV landscape.
The post Women of TVSquared Spotlight: Part 1 appeared first on TVSquared.","Mon, 15 Mar 2021 18:10:55 +0000"
Oprah’s Harry and Meghan Interview Gains Huge UK Audience for Advertisers,https://tvsquared.com/oprahs-harry-and-meghan-interview-gains-huge-uk-audience-for-advertisers/,The post Oprah’s Harry and Meghan Interview Gains Huge UK Audience for Advertisers appeared first on TVSquared.,"Fri, 12 Mar 2021 15:01:22 +0000"
Former Kantar Media Global CEO Andy Brown Joins TVSquared as Executive Advisor,https://tvsquared.com/former-kantar-media-global-ceo-andy-brown-joins-tvsquared-as-executive-advisor/,The post Former Kantar Media Global CEO Andy Brown Joins TVSquared as Executive Advisor appeared first on TVSquared.,"Mon, 08 Mar 2021 12:27:28 +0000"
Advertisers Need to “Always Be Activating” When it Comes to TV Audiences,https://tvsquared.com/advertisers-need-to-always-be-activating-when-it-comes-to-tv-audiences/,The post Advertisers Need to “Always Be Activating” When it Comes to TV Audiences appeared first on TVSquared.,"Tue, 02 Mar 2021 07:05:00 +0000"
Why TV Advertisers Need to Tune In to Audience Trends to Thrive,https://tvsquared.com/why-tv-advertisers-need-to-tune-in-to-audience-trends-to-thrive/,The post Why TV Advertisers Need to Tune In to Audience Trends to Thrive appeared first on TVSquared.,"Mon, 22 Feb 2021 17:22:53 +0000"
TVSquared Teams Up with Experian to Power TV Ad Measurement & Deliver Audience Insights at Scale,https://tvsquared.com/tvsquared-teams-up-with-experian-to-power-tv-ad-measurement-deliver-audience-insights-at-scale/,The post TVSquared Teams Up with Experian to Power TV Ad Measurement & Deliver Audience Insights at Scale appeared first on TVSquared.,"Thu, 18 Feb 2021 13:50:11 +0000"
Introducing Customer Lift: Measure Full-Funnel Impact of Brand Campaigns,https://www.upwave.com/introducing-customer-lift-measure-full-funnel-impact-of-brand-campaigns/,"The most common challenge we hear from CMOs is an inability to demonstrate the ROI of brand investments. Faced with competing demands for budget from channels that appear more measurable...
The post Introducing Customer Lift: Measure Full-Funnel Impact of Brand Campaigns appeared first on Upwave.","Thu, 27 May 2021 21:24:01 +0000"
Instant Insights is Now Part of PureSpectrum,https://www.upwave.com/instant-insights-purespectrum/,The post Instant Insights is Now Part of PureSpectrum appeared first on Upwave.,"Mon, 03 May 2021 04:04:40 +0000"
April 2021 Product Update: Expert Tips,https://www.upwave.com/april-2021-product-update/,The post April 2021 Product Update: Expert Tips appeared first on Upwave.,"Thu, 29 Apr 2021 16:26:04 +0000"
Questions to Ask Your Measurement Partner,https://www.upwave.com/questions-to-ask-your-measurement-partner/,"From targeting verification to privacy concerns to real-time optimization decisions, there are seemingly hundreds of factors that brand marketers must consider when it comes to brand campaign measurement. We’ve compiled...
The post Questions to Ask Your Measurement Partner appeared first on Upwave.","Mon, 26 Apr 2021 12:00:55 +0000"
Ingredients Matter: Why Holistic Measurement with OTS Corrupts Results,https://www.upwave.com/ingredients-matter-why-holistic-measurement-with-ots-corrupts-results/,"Have you ever wondered why the same food you make at home looks so much better in the commercial on TV?  Or why the burger you get doesn’t measure up...
The post Ingredients Matter: Why Holistic Measurement with OTS Corrupts Results appeared first on Upwave.","Thu, 01 Apr 2021 14:13:27 +0000"
March 2021 Product Update: Lift Trends,https://www.upwave.com/march-2021-product-update-optimization-tab-census-baseline-and-centralized-campaign-setup-2/,The post March 2021 Product Update: Lift Trends appeared first on Upwave.,"Fri, 26 Mar 2021 14:04:17 +0000"
When Can I Make Optimization Decisions with Upwave’s Outperformance Indicator?,https://www.upwave.com/when-can-i-make-optimization-decisions-with-upwaves-outperformance-indicator/,"Nearly every aspect of brand lift marketing is dynamic, from the media plan to the data on impressions and outcomes collected continuously throughout a campaign. Yet when it comes to...
The post When Can I Make Optimization Decisions with Upwave’s Outperformance Indicator? appeared first on Upwave.","Fri, 12 Mar 2021 14:17:16 +0000"
Why Brand Lift Stat Sig does not Answer the Campaign Optimization Question,https://www.upwave.com/why-brand-lift-stat-sig-does-not-answer-the-campaign-optimization-question/,The post Why Brand Lift Stat Sig does not Answer the Campaign Optimization Question appeared first on Upwave.,"Fri, 05 Mar 2021 16:59:09 +0000"
"February 2021 Product Update: Optimization Tab, Census Baseline and Centralized Campaign Setup",https://www.upwave.com/february-2021-product-update-optimization-tab-census-baseline-and-centralized-campaign-setup/,"The post February 2021 Product Update: Optimization Tab, Census Baseline and Centralized Campaign Setup appeared first on Upwave.","Fri, 26 Feb 2021 15:02:18 +0000"
The Right Tool for the Job:  Introducing Upwave Optimization,https://www.upwave.com/the-right-tool-for-the-job-introducing-upwave-optimization/,"A measurement tool is only as useful as the question you ask it. A ruler, for example, is very useful if you want to know how long your coat sleeves...
The post The Right Tool for the Job:  Introducing Upwave Optimization appeared first on Upwave.","Mon, 22 Feb 2021 15:43:06 +0000"
Couldn’t Make TV Disrupt? Here’s What You Missed at This Year’s Event,https://ns.ispot.tv/ads/couldnt-make-tv-disrupt-heres-what-you-missed-at-this-years-event/,"The TV advertising industry has witnessed plenty of disruption over the past year, forcing brands to evolve and adjust in real-time with audience migrations, programming adjustments and new messaging demands. However, the challenges have also shed light on more efficient, future-proof methods of TV ad decision-making that will define the future of the medium. iSpot’s... Read More","Wed, 26 May 2021 18:03:08 +0000"
How Brands Adjusted TV Ads to Extended Tax Season,https://ns.ispot.tv/ads/how-brands-adjusted-tv-ads-to-extended-tax-season/,"After years of predictability, tax season was thrown for a loop these past two years. In 2020, the pandemic pushed the tax filing deadline to July 15. In 2021, the date was May 17 in most states. These adjustments forced tax filing services to rethink typical TV advertising strategies — both from a creative standpoint... Read More","Thu, 20 May 2021 23:58:32 +0000"
"iSpot Partners with Discovery, Inc. to Deliver Advertisers Cross-Platform Impression Measurement and Web Attribution",https://ns.ispot.tv/ads/ispot-partners-with-discovery-inc-to-deliver-advertisers-cross-platform-impression-measurement-and-web-attribution/,"Hot off the presses from Discovery Inc.’s Upfront presentation, iSpot is happy to announce an expanded relationship with Discovery, Inc. to deliver real-time TV ad performance insights across Discovery’s linear and streaming inventory.  As TV viewership continues to transform, brands and networks need a fast, accurate and actionable measurement solution to quickly understand where ads... Read More","Tue, 18 May 2021 18:34:53 +0000"
"While Traditional TV Ratings Prove Murky, One Thing is Clear: Ad Ratings Were Up During COVID",https://ns.ispot.tv/ads/ad-ratings-were-up-during-covid/,"A Look at How Ad Viewership Transformed During the Pandemic If you are in the business of buying or selling TV advertising, the recent issues involving “understated” audiences is more than just cause for concern; for many, it has generated calls to action. Discovery wants money back, the VAB wants an audit, NBCUniversal is reminding... Read More","Fri, 14 May 2021 02:15:03 +0000"
TV Ad Insights to Make the Most of this Year’s Upfronts Season,https://ns.ispot.tv/ads/tv-ad-insights-to-make-the-most-of-this-years-upfronts-season/,"With audiences scattered following a tumultuous year, and TV still getting back to “normal” in 2021, it’s understandable that ad buyers have big questions heading into upfronts. Fortunately, we’re in the business of providing answers.  As brands and agencies look ahead at TV ad spend, it’s more crucial than ever to understand the correlations between... Read More","Wed, 05 May 2021 23:47:34 +0000"
2021 NFL Draft Recap: Which TV Advertisers Were the Top Names on the Board?,https://ns.ispot.tv/ads/2021-nfl-draft-recap-which-tv-advertisers-were-the-top-names-on-the-board/,"Despite not being an actual game, the NFL Draft remains one of the more popular sporting events on the calendar every year. So much so, in fact, that it’s become a three-day event with separate English-language airings across ESPN, ABC and the NFL Network. Needless to say, that provides a lot of opportunities for advertisers... Read More","Tue, 04 May 2021 23:53:42 +0000"
How First-Party Identity Will Rule Personalized eCommerce Marketing,https://blog.jivox.com/how-1p-identity-will-rule-personalized-ecommerce-marketing,"This is quite an irony. Post-Pandemic, as brands are having to figure out how to sell their products directly to consumers through eCommerce, we are debating the future of identity.","Tue, 04 May 2021 18:08:27 GMT"
GrowthCast: Artificial Intelligence in Energy and Climate Change,https://blog.jivox.com/growthcast-artificial-intelligence-in-energy-and-climate-change,"What are self driving buildings? How do electric vehicles continue to innovate with EV charging networks and real estate? How can one think about turning legacy energy infrastructure into autonomous systems for consumers and businesses?
In this episode, Mark Chung discusses the impacts of personalization in ESG, why the artificial intelligence revolution has just begun, how autonomous buildings operate and what can people do to avoid a climate disaster.","Thu, 29 Apr 2021 15:30:00 GMT"
DCO: Smart Ways to Save Costs & Increase ROI,https://blog.jivox.com/dco-smart-ways-to-save-costs-increase-roi,"Global brands have achieved significant scale and efficiencies across most of marketing over the past 10 years, leveraging digital marketing technologies like DMPs for data management, DSPs for managing targeted media, and a host of other tools for analytics, media planning, and campaign management. Unfortunately, one piece of the marketing stack has been stubbornly resistant to automation and scale: creative and content production.

""We’ve squeezed as much as we can out of media targeting and optimization. The next big lever we will use to achieve better efficiency and performance is optimizing creative and content for relevance and engagement.""","Wed, 21 Apr 2021 08:18:45 GMT"
GrowthCast: Super Funnels with DeepCrawl,https://blog.jivox.com/growthcast-super-funnels-with-deepcrawl,"What are super funnels and why do they matter? Can we achieve a low customer acquisition cost while maintaining high throughput and high customer lifetime values? What are the best ways to build a super funnel?
In this episode, Alex Schaefer discusses what are the best ways to build super funnels, how to bucket customer journeys, what tools to consider when building super funnel dashboards and KPIs that digital marketeers should measure to ensure that these funnels are operationally successful.","Thu, 15 Apr 2021 15:30:00 GMT"
GrowthCast: Values-Driven Leadership with Lucidworks,https://blog.jivox.com/growthcast-values-driven-leadership-with-lucidworks,"What is values-driven leadership? Why is vulnerability important in the workplace? How can leaders, CxOs and board members optimize for psychological safety and maximize creativity?
In this episode, Ellen Petry Leanse discusses why authenticity is important, how to build authentic cultures and nurture curiosity and how can a values-driven culture emerge in the process that can deliver sustainable growth, returns and happiness in the long run.","Thu, 01 Apr 2021 14:45:00 GMT"
GrowthCast: Investing for 2030 with Simplify,https://blog.jivox.com/growthcast-investing-for-2030-with-simplify,"What trends should investors be aware of while seeking alpha for 2030? Along with eCommerce and personalization, what companies should be on investors’ radars? Why are ETFs a great way to gain exposure to the broader themes?
In this episode, Paul Kim and Tad Park discuss eCommerce, electric vehicles, cloud computing and financial technologies that will change the World and how options and ETFs coupled together can provide investors with venture capital-like returns with limited downside risk.","Thu, 25 Mar 2021 14:45:00 GMT"
GrowthCast: Digital Transformation with Cloudera,https://blog.jivox.com/growthcast-digital-transformation-with-cloudera,"How can one scale one’s data and cloud architecture? How does supporting a cloud center of excellence lead to product led growth? How can one transform organizational behavior between business and IT using technology and data?
In this episode, Fred Koopmans, VP of Product, discusses what it takes to build a successful publicly listed product led cloud company, why we are in the golden age of cloud adoption and what product leaders can do to reduce IT and business friction to build or retain their unicorn status.","Thu, 11 Mar 2021 17:30:51 GMT"
Celebrating the Unstoppable Spirit of the Women of Jivox,https://blog.jivox.com/celebrating-the-unstoppable-spirit-of-the-women-of-jivox,"At Jivox, we’re privileged to have a bunch of women with a spirit that reverberates the unstoppable culture we’ve built over the years. This was nowhere more apparent than in the year 2020 when, almost overnight, we had to shift to remote work completely. For many women, this meant wearing many different hats as they balanced their responsibilities at work and home.","Tue, 09 Mar 2021 14:30:00 GMT"
Creating a Successful Product Through Cross-Company Collaboration,https://blog.jivox.com/creating-a-successful-product-through-cross-company-collaboration,"In the month of February, we launched the Dynamic Canvas Studio, a major product update highlighting creative freedom brands will embrace as they automate 1:1 personalized ads for their customers. This product release involved a major change to allow users to get a tangible view of how our platform generates thousands of variations in real-time. “When I look at the product, two things stand out for me, one is the user experience, other is quality. But the ROI generated is going to be the biggest delight for all our customers,” Ramkumar Venkatesan, our VP Engineering & CTO, commented on the new capability. As for teamwork, Ram quoted Norman Schwarzkopf, “The more you sweat in practice, the less you bleed in battle.”
Releasing a major product update with the team working remotely over Zoom was something we had never done before. This was a situation where multiple teams in the company, from Product Management, Engineering, and Technical Solutions to Client Services, Customer Success, Customer Onboarding, and Marketing, all came together to collaborate, making this release happen.","Tue, 09 Mar 2021 07:12:00 GMT"
The Future of Identity Post Google,https://blog.jivox.com/the-future-of-identity-post-google,"Identity has become the topic of the day and a very polarizing conversation between Google and the rest of the advertising industry. Brands are having to sift through each Google blog post line by line on their plans for identity management and try to understand what Google’s planned changes mean for them. Depending on who you ask, it either means the end of 1:1 identity as we know it or perhaps the beginning of a new era and approach to identity.","Thu, 04 Mar 2021 18:11:22 GMT"
Toward The Future Of Digital Audience Measurement,https://www.nielsen.com/eu/en/insights/article/2021/toward-the-future-of-digital-audience-measurement/,"Without third-party cookies, marketers can’t overlook the need for accurate measurement as changes in the digital media environment accelerate.","Thu, 06 May 2021 14:00:00 +0000"
COVID-19 Changed the Advertising Playbook. Now What?,https://www.nielsen.com/eu/en/insights/article/2021/covid-19-changed-the-advertising-playbook-now-what/,"In the wake of COVID-19, marketers are wondering which consumer behaviors will stick and which will revert? Heather Jordan, SVP, Ad Intel, Nielsen, shares three lessons.","Thu, 25 Feb 2021 16:53:37 +0000"
The Changing Value of Sponsorship: 2021 Sports Marketing Trends,https://www.nielsen.com/eu/en/insights/report/2021/the-changing-value-of-sponsorship-2021-sports-marketing-trends/,Learn how sponsorship value is evolving and why a clear understanding of ROI across channels and over time is a business imperative.,"Tue, 16 Feb 2021 08:00:00 +0000"
Global Sports Sponsorships are Shifting East and Growing into New Categories,https://www.nielsen.com/eu/en/insights/article/2021/global-sports-sponsorships-are-shifting-east-and-growing-into-new-categories/,An analysis of data from Nielsen Sports Sponsorglobe found that Chinese brands will be responsible for one-third of all growth in the global sponsorship market over the next decade.,"Tue, 16 Feb 2021 08:00:00 +0000"
Christmas Ads 2020: How Might Spend Change this Year?,https://www.nielsen.com/eu/en/insights/article/2020/christmas-ads-2020/,"The traditional advertising landscape experienced a huge shift in 2020, and with the market still  unsettled, we expect some atypical spending patterns among advertisers during the critical Christmas period.","Wed, 16 Dec 2020 08:00:00 +0000"
Case Study: Taking Control Of Digital Campaign On-Target Reach,https://www.nielsen.com/eu/en/insights/case-study/2020/case-study-taking-control-of-digital-campaign-on-target-reach/,Digital Ad Ratings helped T-Mobile prove their online campaign reach to key 18-44 audiences and maximise their digital investment.,"Mon, 13 Jul 2020 09:37:05 +0000"
Case Study: Measuring The Effectiveness Of Influencer Marketing Beyond Likes And Shares,https://www.nielsen.com/eu/en/insights/case-study/2020/case-study-measuring-the-effectiveness-of-influencer-marketing-beyond-likes-and-shares/,Read how Influencer Brand Effect helped Lucozade Energy and The Fifth measure the effectiveness of their Influencer campaign beyond likes and shares.,"Fri, 26 Jun 2020 09:58:30 +0000"
Riding the Tide of Sentiment Change and the Need for Tailored Engagement Strategies,https://www.nielsen.com/eu/en/insights/article/2020/riding-the-tide-of-sentiment-change-and-the-need-for-tailored-engagement-strategies/,"Face masks, working from home, social distancing and businesses operating at partial capacity remain constant reminders of our new world, and consumers see it with different eyes than before the COVID-19 pandemic arrived.","Wed, 17 Jun 2020 08:00:00 +0000"
Become the Brand that People Remember: How to Increase Share of Market in Uncertain Times,https://www.nielsen.com/eu/en/insights/article/2020/become-the-brand-that-people-remember-how-to-increase-share-of-market-in-uncertain-times/,"Even during a crisis like the novel coronavirus (COVID-19) pandemic, businesses need to consider strategic plans and continue to invest in their brands. Continuing to invest in advertising will help set your company up for success when life eventually settles into a new normal.","Tue, 12 May 2020 13:57:17 +0000"
The importance of maintaining a cross-media ad strategy through a crisis,https://www.nielsen.com/eu/en/insights/article/2020/the-importance-of-maintaining-a-cross-media-ad-strategy-through-a-crisis/,"The resounding question advertisers are asking right now is if they should advertise. In fact, many advertisers have chosen to reduce their ad volumes and spend. However, this strategy of limiting advertising is not sustainable with coverage COVID-19 here to stay for at least the medium term.","Tue, 05 May 2020 12:00:00 +0000"
Expect the unexpected: The rise of functional attacks,https://blog.imvision.ai/expect-the-unexpected-the-rise-of-functional-attacks,This article was originally published in NORDIC APIS,"Tue, 18 May 2021 06:06:16 GMT"
API Security is the New Application Security,https://blog.imvision.ai/api-security-is-the-new-application-security,This article was originally published in Cyber Protection Magazine,"Thu, 13 May 2021 09:25:45 GMT"
Is NLP-based security going to be the standard for securing APIs?,https://blog.imvision.ai/is-nlp-based-security-going-to-be-the-standard-for-securing-apis,"If you read our last article (which you can find here) you are now familiar with the common methods currently used to secure APIs, mainly firewalls and access management, static and dynamic security checks, quotas, and throttling measures.","Sun, 18 Apr 2021 13:09:17 GMT"
Is your current approach to API security cutting it?,https://blog.imvision.ai/is-your-current-approach-to-api-security-cutting-it,"There’s no way around it -- 2020 was the year of digital transformation. Recent research from IDC shows that spending on digital transformation was poised to grow by 10.4% in 2020 and reach $1.3 trillion, as organizations from every industry began to realize that the benefits of a digital operation are simply too compelling to ignore.","Mon, 15 Feb 2021 07:39:20 GMT"
